658,how to edit privacy policy
2013-01-11T08:46:54Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/acf4fa7d9b62fcb50ebd0469b0f66c951cd1037d
2013-01-11T09:52:49Z,commit,Revert: refreshUsages icon properly fixed,github.com/JetBrains/intellij-community/pull/658/commits/b230f0bc1d6a1c7927db0934bdd61dfda4f64a74
2012-11-29T18:35:28Z,commit,IDEA-95534: skip warning about same method signatures for empty class¡­,github.com/JetBrains/intellij-community/pull/658/commits/f89741547e7c61a6f66971b0b8674afa3e98089c
2013-01-10T15:48:04Z,commit,[^kb] groovy cannot find source file renamed to java: fix,github.com/JetBrains/intellij-community/pull/658/commits/479c92ae9c01ddd674ae8eab1f4573db04523854
2013-01-11T14:27:47Z,commit,[^maxim.mossienko] IDEA-98263 IntelliJ IDEA very high CPU usage,github.com/JetBrains/intellij-community/pull/658/commits/33260e2e49fc3af5177d82408cf9a6c6aeadf8b5
2013-01-13T12:47:45Z,commit,icons,github.com/JetBrains/intellij-community/pull/658/commits/bc3230b6c6c6c2baf26cad5d4c4eb3b1dbb451e2
2013-01-12T18:56:35Z,commit,IDEA-95627 Postgres stored functions cannot be formatted,github.com/JetBrains/intellij-community/pull/658/commits/3836cbb46687ac3f2ca40faff723beec2ec9c6f5
2013-01-14T10:03:18Z,commit,eap = false,github.com/JetBrains/intellij-community/pull/658/commits/f989f8ce3e4a090b18078b035e1de71efbd52426
2013-01-14T10:03:51Z,commit,release splashes,github.com/JetBrains/intellij-community/pull/658/commits/dec1211be2f40a55a3907621d1ddc78033d2d227
2013-01-14T11:10:37Z,commit,http://ea.jetbrains.com/browser/ea_problems/41965,github.com/JetBrains/intellij-community/pull/658/commits/ba3eebb9d07f60408eb6fb899ca1fe33c9abbfaa
2013-01-14T11:49:37Z,commit,IDEA-98111 auto completion can result in compilation problems by shad¡­,github.com/JetBrains/intellij-community/pull/658/commits/d6f3148436f9281d4155c57f0bf9fe0cea3ea711
2013-01-11T14:58:00Z,commit,"[^nik,maxim] IDEA-96730 Searching for usages on commonly used method ¡­",github.com/JetBrains/intellij-community/pull/658/commits/e21123ae73fa99e65c4fd2fef7c0bda5644ccc2c
2013-01-14T13:04:38Z,commit,IDEA-98980 Resource bundle editor: Provide explicit ability to show a¡­,github.com/JetBrains/intellij-community/pull/658/commits/513b652e9f763c7d97494b4dc1f02801f5ca4ced
2013-01-14T13:18:44Z,commit,[git] IDEA-98236 Escape ^ for git.cmd and only for it.,github.com/JetBrains/intellij-community/pull/658/commits/67ceb416162cb41c286ddc302cbc2a2df3fb4bb5
2013-01-14T13:19:44Z,commit,[git] IDEA-98433 Git push changes the branch.master.rebase value to a¡­,github.com/JetBrains/intellij-community/pull/658/commits/681cb2ed9955a6e7ecb5c3adca9ea893261247dc
2013-01-14T13:04:56Z,commit,fixed building of configurables tree - the case with more than two-de¡­,github.com/JetBrains/intellij-community/pull/658/commits/eb335355f4032c94a111574af38f458cf6ee4b5e
2013-01-14T14:01:55Z,commit,revert IDEA-96730 Searching for usages on commonly used method names ¡­,github.com/JetBrains/intellij-community/pull/658/commits/7f25fc208f1888b1ee9cb8ab1c7253727a803ffd
2013-01-14T14:32:57Z,commit,android icons,github.com/JetBrains/intellij-community/pull/658/commits/7955138a8c55e7700b0a329cff342ff28ae0f468
2013-01-14T14:33:40Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/86a84b2a0a64749c5a0f83966755a5023df14bb1
2013-01-14T15:25:08Z,commit,"IDEA-97979 android-jps: make all storages per target [rev=jeka,nik]",github.com/JetBrains/intellij-community/pull/658/commits/31478d3e6860c84af2c407ced776f342b83a9976
2013-01-14T20:06:15Z,commit,synchronously save sources and resources generated by annotation proc¡­,github.com/JetBrains/intellij-community/pull/658/commits/42bf9f15d04a23b5103fff20907e4fab96fba212
2013-01-14T20:18:47Z,commit,synchronously save sources and resources generated by annotation proc¡­,github.com/JetBrains/intellij-community/pull/658/commits/99a56f84e40eccaa65e8e4757dbbd198bea3c43d
2013-01-15T11:33:49Z,commit,IDEA-98218 (diagnostic),github.com/JetBrains/intellij-community/pull/658/commits/f51727bc498cf1c50c2903032f2f4fcfcb529970
2013-01-15T12:26:03Z,commit,IDEA-73542 Task/Jira Connection: All Jira Tasks are marked as resolved,github.com/JetBrains/intellij-community/pull/658/commits/28beb3c9b1a3d1f7971a1f74689312e7c78a20b8
2013-01-15T14:49:13Z,commit,cherry-pick,github.com/JetBrains/intellij-community/pull/658/commits/a5aefa08443cff6875d8e98ae9751eb49cca6c6f
2013-01-16T09:40:32Z,commit,12.0.3 eap,github.com/JetBrains/intellij-community/pull/658/commits/84f2b64c6220a4fac9810280b0fb76816fc25f79
2013-01-16T11:17:33Z,commit,EA-41596 - assert: EditorWindow.isFilePinned,github.com/JetBrains/intellij-community/pull/658/commits/a804732d12485d8138d0b947c377b0676ca4a3e4
2013-01-16T12:46:33Z,commit,"IDEA-97815 If Maven project has two resources-folders, neither is cop¡­",github.com/JetBrains/intellij-community/pull/658/commits/9cda752a308ae3fb63ffcdd2ab27fd7718577344
2013-01-16T12:46:58Z,commit,Revert bad fix.,github.com/JetBrains/intellij-community/pull/658/commits/ccfc13b0d75bd675b1094b1016cf22b2006d9c5b
2013-01-16T12:47:10Z,commit,Add license for plexus-utils-2.0.6.jar,github.com/JetBrains/intellij-community/pull/658/commits/c6765d6d282bebe809d279d9561e274c0e1a04e0
2013-01-16T12:47:29Z,commit,"IDEA-97815 If Maven project has two resources-folders, neither is cop¡­",github.com/JetBrains/intellij-community/pull/658/commits/a10a2cccec7512473cecfc24f4c0b4ee76994cd3
2013-01-16T12:48:21Z,commit,"IDEA-97815 If Maven project has two resources-folders, neither is cop¡­",github.com/JetBrains/intellij-community/pull/658/commits/0d80e27c7ddf0c0207adef243b6e807dd4f1223a
2013-01-16T12:50:40Z,commit,"IDEA-97815 If Maven project has two resources-folders, neither is cop¡­",github.com/JetBrains/intellij-community/pull/658/commits/55bf522d6960da82af532cf8932bcd262281f5bb
2013-01-16T12:52:15Z,commit,IDEA-98976 Spock: double pipe in table header,github.com/JetBrains/intellij-community/pull/658/commits/711bc20263a0ebf189cedf09a4401f37d215de2f
2013-01-16T13:29:08Z,commit,diagnostics for EA-39864 - SIOOBE: TextRange.substring,github.com/JetBrains/intellij-community/pull/658/commits/6fb4073d3bd8a577233c5cd2b3c4d3c5de7dfc3e
2013-01-16T14:28:06Z,commit,explicitly adding project sdk to the candidate sdk list when launchin¡­,github.com/JetBrains/intellij-community/pull/658/commits/001fdaf974c51f2d350288dd30340bf404e3c6ee
2013-01-03T18:39:41Z,commit,formatter: field groups alignment: correctly process range (IDEA-9836¡­,github.com/JetBrains/intellij-community/pull/658/commits/63de68b3cf3aa8c239a81d9e193a1f4a90e1e895
