id,title,status,importance
80389,hyades feature versions need update,CLOSED FIXED,P3 normal
80390,example create wrong,CLOSED FIXED,P3 normal
80391,feature errors incorrect plugin versions reference,CLOSED DUPLICATE of bug 80389,P3 normal
80392,ability indicate table sortable windows xp,NEW,P3 enhancement with 4 votes
80393,npe,RESOLVED FIXED,P3 normal
80394,libraries build path lock eclipse,RESOLVED WORKSFORME,P3 normal
80395,manual test swing window improperly scroll description,CLOSED DUPLICATE of bug 74841,P3 normal
80396,map logical view physical file disk,RESOLVED FIXED,P4 enhancement
80397,import log select log file list resizable,CLOSED FIXED,P3 normal
80398,negativesizearrayexception load save log file,CLOSED INVALID,P3 normal
80399,log agent appear list agents attach,CLOSED INVALID,P3 major
80400,use traditional style tabs dialog,VERIFIED FIXED,P4 normal
80401,preference reorganization,RESOLVED WONTFIX,P3 normal
80402,preference explanation,NEW,P3 normal
80403,agent docs,CLOSED FIXED,P3 normal
80404,hyperlink underline,VERIFIED FIXED,P2 normal
80405,profile file attach scenario,CLOSED FIXED,P3 major
80406,npe try open gif file,VERIFIED FIXED,P1 blocker
80407,referenece object reference statistics view display correct object reference,CLOSED FIXED,P3 normal
80408,log trace analyzer docs,CLOSED FIXED,P3 normal
80409,breakpoints group menu number submenu start,VERIFIED FIXED,P3 normal
80410,remove ws content repository,CLOSED INVALID,P3 critical
80411,swtexception throw launch java application profile,CLOSED FIXED,P3 normal
80412,method invocation view become blank,CLOSED FIXED,P3 normal
80413,generic log adapter docs,CLOSED FIXED,P3 normal
80414,arrmlistener menuitem generate submenu invisible lables,RESOLVED FIXED,P3 major
80415,rtl commandline option work linux,RESOLVED WORKSFORME,P2 normal
80416,statistical console docs,CLOSED FIXED,P2 major
80417,ui cannot handle extremely long method name,CLOSED FIXED,P3 normal
80418,tptp tester guide docs,CLOSED FIXED,P3 normal
80419,allow multiple clipboard,ASSIGNED,P3 enhancement
80420,hyades data collection log apis,CLOSED FIXED,P3 blocker
80421,type cache lose class,RESOLVED WORKSFORME,P3 normal
80422,fail,CLOSED DUPLICATE of bug 80423,P3 normal
80423,fail,CLOSED FIXED,P3 normal
80424,profile tool docs,CLOSED FIXED,P3 normal
80425,changerecorder concurrentmodificationexception applyandreverse,VERIFIED FIXED,P3 normal
80426,vm arguments filter syntax,CLOSED INVALID,P3 minor
80427,debug action two windows debug perspective affect,VERIFIED FIXED,P3 enhancement
80428,concurrent overlap url test execution fail,CLOSED FIXED,P3 major
80429,fieldeditors relax requirements support dialogpages,VERIFIED FIXED,P3 normal
80430,jsr support withincode aspect crash recent ibm,NEW,P3 normal
80431,external buildfile run debug,VERIFIED FIXED,P2 normal
